Time,plot,x_(m),y_(m),z_(m),log_res25,del_log_res25,swc,del_swc,pF,logK_cmd,cov
2022-01-01 07:30:00,x,0.05,0.6,0.0,2.0065173843747113,-0.002,0.308,0.001,2.237,-1.433,1.967
2022-01-01 07:30:00,x,0.05,0.6,0.05,2.007440506234679,-0.002,0.307,0.001,2.24,-1.439,1.974
2022-01-01 07:30:00,x,0.05,0.6,0.1,2.0124406973175786,-0.002,0.301,0.001,2.271,-1.503,1.975
2022-01-01 07:30:00,x,0.05,0.6,0.15,2.0066414361253457,-0.002,0.297,0.001,2.296,-1.554,1.983
2022-01-01 07:30:00,x,0.05,0.6,0.2,1.9787920258658234,-0.002,0.302,0.001,2.267,-1.494,1.938
2022-01-01 07:30:00,x,0.05,0.6,0.25,1.957913627138505,-0.002,0.307,0.002,2.237,-1.435,1.921
2022-01-01 07:30:00,x,0.05,0.6,0.3,1.917253367023676,-0.003,0.321,0.002,2.16,-1.286,1.969
2022-01-01 07:30:00,x,0.05,0.6,0.35,1.8716079578822473,-0.003,0.34,0.002,2.051,-1.086,2.021
2022-01-01 07:30:00,x,0.05,0.6,0.4,1.8416034578825908,-0.003,0.352,0.002,1.97,-0.95,2.028
2022-01-01 07:30:00,x,0.05,0.6,0.45,1.8110452189121078,-0.003,0.363,0.002,1.9,-0.829,2.019
2022-01-01 07:30:00,x,0.05,0.6,0.5,1.7930076704281495,-0.002,0.369,0.001,1.856,-0.759,2.026
2022-01-01 07:30:00,x,0.05,0.6,0.55,1.7663682255240694,-0.001,0.378,0.001,1.778,-0.645,2.015
2022-01-01 07:30:00,x,0.05,0.6,0.6,1.7485833652023173,-0.0,0.384,0.0,1.729,-0.578,1.996
2022-01-01 07:30:00,x,0.05,0.6,0.65,1.7238577623928344,0.002,0.39,-0.001,1.668,-0.502,1.969
2022-01-01 07:30:00,x,0.05,0.6,0.7,1.7106757474341858,0.003,0.393,-0.002,1.627,-0.454,1.935
2022-01-01 07:30:00,x,0.05,0.6,0.75,1.7015248124845013,0.004,0.398,-0.003,1.562,-0.381,1.912
2022-01-01 07:30:00,x,0.05,0.6,0.8,1.691929792837514,0.005,0.404,-0.003,1.472,-0.291,1.944
2022-01-01 07:30:00,x,0.05,0.6,0.85,1.6855984425581019,0.007,0.408,-0.003,1.403,-0.224,1.945
2022-01-01 07:30:00,x,0.05,0.6,0.9,1.6816301186885327,0.008,0.409,-0.004,1.376,-0.199,1.952
2022-01-01 07:30:00,x,0.05,0.6,0.95,1.6802629738316481,0.008,0.41,-0.004,1.359,-0.181,1.96
2022-01-01 07:30:00,x,0.1,0.6,0.0,2.00390838272348,-0.002,0.309,0.001,2.229,-1.417,1.976
2022-01-01 07:30:00,x,0.1,0.6,0.05,2.0100836037488565,-0.002,0.304,0.001,2.256,-1.472,2.004
2022-01-01 07:30:00,x,0.1,0.6,0.1,2.011198152481826,-0.001,0.302,0.001,2.267,-1.495,2.052
2022-01-01 07:30:00,x,0.1,0.6,0.15,2.011811416512327,-0.002,0.296,0.001,2.299,-1.56,2.092
2022-01-01 07:30:00,x,0.1,0.6,0.2,1.984216670465987,-0.002,0.301,0.001,2.273,-1.508,2.017
2022-01-01 07:30:00,x,0.1,0.6,0.25,1.953561581217852,-0.002,0.308,0.001,2.232,-1.424,1.919
2022-01-01 07:30:00,x,0.1,0.6,0.3,1.9046235927529473,-0.003,0.326,0.002,2.136,-1.239,2.002
2022-01-01 07:30:00,x,0.1,0.6,0.35,1.8744470263607906,-0.003,0.338,0.002,2.06,-1.1,2.02
2022-01-01 07:30:00,x,0.1,0.6,0.4,1.8464360853485342,-0.003,0.349,0.002,1.988,-0.975,2.02
2022-01-01 07:30:00,x,0.1,0.6,0.45,1.8130603237513918,-0.002,0.362,0.002,1.906,-0.837,2.018
2022-01-01 07:30:00,x,0.1,0.6,0.5,1.8006346094752435,-0.002,0.366,0.001,1.874,-0.789,2.02
2022-01-01 07:30:00,x,0.1,0.6,0.55,1.7661599308045355,-0.001,0.378,0.001,1.773,-0.642,2.013
2022-01-01 07:30:00,x,0.1,0.6,0.6,1.7466653300427069,-0.0,0.385,0.0,1.715,-0.563,1.993
2022-01-01 07:30:00,x,0.1,0.6,0.65,1.724636266385149,0.001,0.39,-0.001,1.664,-0.498,1.972
2022-01-01 07:30:00,x,0.1,0.6,0.7,1.710422026283134,0.003,0.393,-0.002,1.629,-0.454,1.94
2022-01-01 07:30:00,x,0.1,0.6,0.75,1.699456141969465,0.004,0.399,-0.003,1.549,-0.364,1.911
2022-01-01 07:30:00,x,0.1,0.6,0.8,1.691161090741182,0.006,0.404,-0.003,1.466,-0.285,1.975
2022-01-01 07:30:00,x,0.1,0.6,0.85,1.6835783184227153,0.008,0.409,-0.003,1.38,-0.204,2.045
2022-01-01 07:30:00,x,0.1,0.6,0.9,1.6798819421128623,0.008,0.41,-0.004,1.359,-0.182,2.035
2022-01-01 07:30:00,x,0.1,0.6,0.95,1.6795550772088954,0.008,0.41,-0.004,1.359,-0.182,1.992
