date,Time,x_(m),y_(m),z_(m),res,res25,del_log_res25,tempC,swc,del_swc,pF,logK_cmd,cov,res_sd,res25_sd,del_log_res25_sd,tempC_sd,swc_sd,del_swc_sd,pF_sd,logK_cmd_sd,cov_sd,log_res25
2021_04_26_18_30,2021-04-26 18:30:00,2.35,0.6,0.0,77.029,64.881,0.0,16.7,0.409,0.0,1.4,-0.209,2.348,1.106,1.106,0.0,0.002,0.009,0.0,0.121,0.133,0.241,1.8121175349628873
2021_04_26_18_30,2021-04-26 18:30:00,2.35,0.6,0.05,76.828,64.677,0.0,16.676,0.41,0.0,1.39,-0.201,2.356,1.106,1.106,0.0,0.061,0.009,0.0,0.128,0.138,0.299,1.8107498672383535
2021_04_26_18_30,2021-04-26 18:30:00,2.35,0.6,0.1,76.592,64.41,0.0,16.628,0.41,0.0,1.379,-0.195,2.351,1.108,1.108,0.0,0.104,0.011,0.0,0.149,0.158,0.324,1.8089532991559112
2021_04_26_18_30,2021-04-26 18:30:00,2.35,0.6,0.15,76.251,63.974,0.0,16.526,0.41,0.0,1.364,-0.191,2.331,1.109,1.109,0.0,0.134,0.014,0.0,0.192,0.203,0.329,1.8060035060031279
2021_04_26_18_30,2021-04-26 18:30:00,2.35,0.6,0.2,75.697,63.255,0.0,16.35,0.408,0.0,1.328,-0.185,2.272,1.113,1.113,0.0,0.165,0.019,0.0,0.28,0.281,0.284,1.8010948600705448
2021_04_26_18_30,2021-04-26 18:30:00,2.35,0.6,0.25,74.481,61.807,0.0,16.044,0.405,0.0,1.262,-0.193,2.199,1.12,1.12,0.0,0.165,0.025,0.0,0.452,0.391,0.196,1.7910376642346826
2021_04_26_18_30,2021-04-26 18:30:00,2.35,0.6,0.3,73.826,61.038,0.0,15.883,0.401,0.0,1.263,-0.241,2.194,1.127,1.127,0.0,0.077,0.029,0.0,0.547,0.465,0.142,1.7856002948813923
2021_04_26_18_30,2021-04-26 18:30:00,2.35,0.6,0.35,73.665,60.845,0.0,15.841,0.396,0.0,1.325,-0.307,2.21,1.132,1.132,0.0,0.026,0.033,0.0,0.57,0.502,0.129,1.7842248954398956
2021_04_26_18_30,2021-04-26 18:30:00,2.35,0.6,0.4,73.76,60.904,0.0,15.826,0.391,0.0,1.417,-0.391,2.22,1.136,1.136,0.0,0.011,0.036,0.0,0.565,0.522,0.117,1.7846458167852552
2021_04_26_18_30,2021-04-26 18:30:00,2.35,0.6,0.45,74.296,61.334,0.0,15.818,0.382,0.0,1.562,-0.522,2.227,1.138,1.138,0.0,0.013,0.037,0.0,0.521,0.519,0.107,1.7877012888564134
2021_04_26_18_30,2021-04-26 18:30:00,2.35,0.6,0.5,75.543,62.38,0.0,15.829,0.37,0.0,1.724,-0.69,2.237,1.14,1.141,0.0,0.036,0.039,0.0,0.456,0.51,0.109,1.7950453704211249
2021_04_26_18_30,2021-04-26 18:30:00,2.35,0.6,0.55,77.991,64.531,0.0,15.917,0.351,0.0,1.94,-0.943,2.239,1.139,1.14,0.0,0.078,0.037,0.0,0.301,0.435,0.111,1.8097683951724726
2021_04_26_18_30,2021-04-26 18:30:00,2.35,0.6,0.6,80.589,66.847,0.0,16.026,0.335,0.0,2.069,-1.137,2.226,1.135,1.136,0.0,0.081,0.033,0.0,0.218,0.375,0.115,1.8250819215055414
2021_04_26_18_30,2021-04-26 18:30:00,2.35,0.6,0.65,82.713,68.731,0.0,16.103,0.324,0.0,2.141,-1.263,2.214,1.132,1.132,0.0,0.068,0.031,0.0,0.184,0.343,0.128,1.837152662711948
