Time,Date,Year,Month,DoY,HoD,netShortWave,netLongWave,availableEnergy,airTemp,gradientTemp,windSpeed,vaporPressureDeficit,precipitation,green,plantHeight,soilCO2Flux0,soilCO2Flux1,soilWaterContent,soilWaterPotential
2021-04-06 00:30:00,2021-04-06,2021,4,96,0,0.0,-21.3,-4.95,7.6,1.9,1.23,0.07,0.0,,0.13,,,0.065,
2021-04-06 01:30:00,2021-04-06,2021,4,96,1,0.0,-18.0,-0.93,7.4,1.8,1.23,0.09,0.0,,0.13,,,0.065,
2021-04-06 02:30:00,2021-04-06,2021,4,96,2,0.0,-14.3,2.11,7.2,1.9,1.53,0.09,0.0,,0.13,,,0.065,
2021-04-06 03:30:00,2021-04-06,2021,4,96,3,0.0,-13.5,2.37,7.1,1.9,1.33,0.08,0.0,,0.13,,,0.065,
2021-04-06 04:30:00,2021-04-06,2021,4,96,4,0.0,-14.9,0.43,7.1,1.8,0.89,0.08,0.0,,0.13,,,0.065,
2021-04-06 05:30:00,2021-04-06,2021,4,96,5,0.78,-16.7,-0.8,6.9,1.8,0.97,0.07,0.0,,0.13,,,0.065,
2021-04-06 06:30:00,2021-04-06,2021,4,96,6,23.37,-16.5,20.72,7.0,2.4,1.2,0.07,0.0,,0.13,,,0.065,
2021-04-06 07:30:00,2021-04-06,2021,4,96,7,74.74,-25.5,57.78,7.2,4.2,1.31,0.06,0.0,,0.13,,,0.065,
2021-04-06 08:30:00,2021-04-06,2021,4,96,8,177.23,-47.6,129.09,7.5,7.5,1.43,0.06,0.0,,0.13,,,0.065,
2021-04-06 09:30:00,2021-04-06,2021,4,96,9,438.4,-125.2,292.7,9.2,13.9,1.8,0.14,0.0,,0.13,,,0.065,
2021-04-06 10:30:00,2021-04-06,2021,4,96,10,651.4,-192.0,402.09,11.1,19.6,1.99,0.3,0.0,,0.13,,,0.065,
2021-04-06 11:30:00,2021-04-06,2021,4,96,11,715.2,-223.7,406.09,11.7,22.6,2.51,0.35,0.0,,0.13,,,0.065,
2021-04-06 12:30:00,2021-04-06,2021,4,96,12,736.9,-234.6,412.21,12.4,24.2,2.2,0.39,0.0,,0.13,,,0.065,
2021-04-06 13:30:00,2021-04-06,2021,4,96,13,768.5,-162.9,579.32,12.2,12.4,2.59,0.38,0.0,,0.13,,,0.065,
2021-04-06 14:30:00,2021-04-06,2021,4,96,14,474.12,-161.8,311.6,11.4,11.5,1.81,0.32,0.0,,0.13,,4.25,0.066,
2021-04-06 15:30:00,2021-04-06,2021,4,96,15,62.3,-121.1,-4.74,11.1,5.4,1.99,0.31,0.0,,0.13,,4.77,0.068,
2021-04-06 16:30:00,2021-04-06,2021,4,96,16,38.72,-111.7,-1.41,9.5,4.5,1.56,0.21,0.0,,0.13,,4.54,0.08,
2021-04-06 17:30:00,2021-04-06,2021,4,96,17,18.71,-108.3,-21.52,9.0,3.6,0.82,0.17,0.0,,0.13,,4.67,0.094,
2021-04-06 18:30:00,2021-04-06,2021,4,96,18,3.72,-66.1,0.85,8.2,3.6,1.2,0.13,0.0,,0.13,,4.75,0.095,
2021-04-06 19:30:00,2021-04-06,2021,4,96,19,0.0,-27.9,29.13,7.7,3.8,1.73,0.09,0.0,,0.13,,4.38,0.095,
2021-04-06 20:30:00,2021-04-06,2021,4,96,20,0.0,-22.9,29.32,7.6,3.4,1.58,0.09,0.0,,0.13,,4.5,0.095,
2021-04-06 21:30:00,2021-04-06,2021,4,96,21,0.0,-21.0,25.03,7.5,3.2,1.52,0.08,0.0,,0.13,,4.35,0.095,
2021-04-06 22:30:00,2021-04-06,2021,4,96,22,0.0,-20.1,22.04,7.6,2.8,1.71,0.09,0.0,,0.13,,,0.095,
2021-04-06 23:30:00,2021-04-06,2021,4,96,23,0.0,-17.6,23.04,7.5,2.5,1.88,0.09,0.0,,0.13,,4.4,0.095,
2021-04-07 00:30:00,2021-04-07,2021,4,97,0,0.0,-17.8,21.64,7.1,2.5,1.89,0.09,0.0,,0.13,,4.33,0.095,
2021-04-07 01:30:00,2021-04-07,2021,4,97,1,0.0,-16.1,21.33,7.0,2.2,1.79,0.09,0.0,,0.13,,4.41,0.095,
2021-04-07 02:30:00,2021-04-07,2021,4,97,2,0.0,-15.6,19.96,7.0,2.0,1.82,0.09,0.0,,0.13,,4.66,0.095,
2021-04-07 03:30:00,2021-04-07,2021,4,97,3,0.0,-15.5,19.12,6.8,1.9,1.95,0.1,0.0,,0.13,,4.37,0.095,
2021-04-07 04:30:00,2021-04-07,2021,4,97,4,0.0,-14.7,18.63,6.8,1.6,2.02,0.11,0.0,,0.13,,4.37,0.095,
2021-04-07 05:30:00,2021-04-07,2021,4,97,5,0.8,-14.7,17.37,6.7,1.6,1.89,0.11,0.0,,0.13,,4.63,0.095,
